Feature,SpearmanAbs,mRMR_Score,NCA_Weight,PermImportance,Consensus
Tf_x_V0,0.7885513978375878,1.0,17.16648267139531,0.05389962682731294,0.904405650455185
Initial_Speed,0.7391341015412616,0.9545454545454546,18.885072819095416,0.004734017328270987,0.7218731191835667
Speed_Avg,0.6581541529473146,0.6818181818181818,20.68407035007712,0.004366507804002477,0.6353892922857292
Erel_x_Tf,0.7346140373884024,0.9090909090909091,5.3277827998197385,0.020352513604516783,0.5948886044128369
Avg_Power,0.7161136556591925,0.8636363636363636,12.565889396258315,-0.0003822484683276439,0.5923114944228957
Energy_Rate,0.716065141407434,0.8181818181818182,12.565952255998093,0.00060132997701559,0.5837841593511987
Temp_Diff,0.6738318694528169,0.5,8.094854823495243,0.04457534489525493,0.5785421338156047
Braking_Distance,0.7240493196661095,0.5909090909090909,13.285882600416459,0.005294216479508477,0.552888386998132
Temp_Rise_Rate,0.6773548071958713,0.36363636363636365,14.549067625982092,0.013302886183514977,0.5158675485329839
Energy_Diff,0.6952683668892453,0.7727272727272727,6.031552244676374,0.0019324002103394955,0.4867379402721159
SpeedxDecel,0.7086870198936412,0.6363636363636364,8.078768222569025,0.0024208787634880788,0.483891304887295
Final_Speed,0.4061307674282461,0.5454545454545454,19.641324771998587,0.0006103393258866664,0.46196717380350516
Final_Temperature,0.4497931089464781,0.7272727272727273,11.492838096407834,-0.01681872283434848,0.36835940088235114
Contact_Pressure,0.3241420589554018,0.045454545454545456,24.925391018029174,-0.010746683519311965,0.3204818758671897
Deceleration_Rate_abs,0.3944390761611684,0.22727272727272727,12.547695295846163,0.008537070169544646,0.3134319701198523
Tf_x_a,0.531318481273014,0.4090909090909091,4.993476422516759,-0.0037936348029177377,0.28614317118311683
Decel_Sq,0.3944390761611684,0.18181818181818182,10.793573750869617,0.00921458926795353,0.2822561688024259
Speed_Ratio,0.23039399768916,0.2727272727272727,12.981012499677034,-0.00028022673205649654,0.22738615434389647
Initial_Temperature,0.27955024831462855,0.3181818181818182,14.887844247756988,-0.01846084346646595,0.22179398081019702
Speed_Diff,0.3112266637672818,0.45454545454545453,4.733244708816373,-0.0001285835737276836,0.20979659889829982
Braking_Time,0.22541247120083,0.09090909090909091,15.914748866005928,-0.008195169537694435,0.18635544377967483
Pressure_Time,0.29259980221330956,0.13636363636363635,4.63415941391523,-0.007790853328032865,0.09050069605478274
